"X","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3","text_duplicate","id_nhs","group"
528,528,"Annual cycle","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Fire","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".",".",0,"NHS-C036",1
529,529,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)","<10 min","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".",".",0,"NHS-C036",1
531,531,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Ideas about nature and people","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C036",1
532,532,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","21-30 listeners","Adult",".",".",".",".",".",".",".",".",0,"NHS-C036",0
533,533,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C036",1
534,534,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone","Membranophone",".",0,"NHS-C036",1
535,535,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".",".",0,"NHS-C036",1
536,536,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".","Torso",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C036",1
538,538,"Buying and selling","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Fire",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","2-5 singers",".",".","Semicircle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Idiophone",".",".",0,"NHS-C036",1
539,539,"Buying and selling","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Semicircle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Idiophone","Aerophone",".",0,"NHS-C036",1
540,540,"Buying and selling","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Adornment","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","2-5 singers",".",".","Semicircle","Head/face & shoulders",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Idiophone",".",".",0,"NHS-C036",1
541,541,"Buying and selling","Recreational and non-therapeutic drugs",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".","Morning (0700 to 1000)","Morning (0700 to 1000)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
542,542,"Buying and selling","Recreational and non-therapeutic drugs",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","2-5 singers",".",".","Line (or row)",".",".",".",".",".",".",".",".",".","6-10 listeners","All ages",".",".",".",".",".","Membranophone",".",".",0,"NHS-C036",1
543,543,"Buying and selling","Recreational and non-therapeutic drugs",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Food consumption",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","10 min - 1 hour","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
544,544,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Recreational and non-therapeutic drugs",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Membranophone",".",".",0,"NHS-C036",1
545,545,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Recreational and non-therapeutic drugs",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Membranophone",".",".",0,"NHS-C036",1
546,546,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","2-5 singers","Elder",".","Line (or row)",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Aerophone","Idiophone",".",0,"NHS-C036",1
547,547,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Status, role, and prestige",".",".","Status, role, and prestige","Family (includes nuclear family, polygamy, adoption)","Infancy and childhood",".",".",".",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder",".",".",".",".",".",".",".",".",0,"NHS-C036",0
548,548,".",".",".","Travel and transportation","Infancy and childhood",".","Communication",".",".","Status, role, and prestige","Family (includes nuclear family, polygamy, adoption)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",0
549,549,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Dance",".",".","Status, role, and prestige",".",".","Status, role, and prestige","Family (includes nuclear family, polygamy, adoption)","Infancy and childhood",".",".",".",".",".","2-5 singers","Elder",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",1
551,551,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Fauna","Food consumption",".",".",".",".",".",".","2-5 singers","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".","Patients/Sick People",".","Membranophone",".",".",0,"NHS-C036",1
552,552,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Fauna","Ideas about nature and people",".",".",".",".",".",".","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".","Patients/Sick People",".","Membranophone",".",".",0,"NHS-C036",1
553,553,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".",".","Morning (0700 to 1000)","Morning (0700 to 1000)",".",".","11-20 singers","Adult",".","Multiple lines",".",".",".",".",".",".",".",".",".","Solo listener","Adult",".","Male","Married","Adults",".","Membranophone",".",".",0,"NHS-C036",1
554,554,".",".",".",".",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Friendships","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Membranophone",".",".",0,"NHS-C036",1
556,556,".",".",".",".",".",".",".",".",".","Fauna","Ideas about nature and people","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Male",".","Warriors",".",".",".",".",0,"NHS-C036",0
558,558,"Sickness, medical care, and shamans",".",".",".",".",".","Sickness, medical care, and shamans",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".","2-5 listeners","Adult",".","Male","Married","Adults",".",".",".",".",0,"NHS-C036",0
559,559,"Travel and transportation",".",".",".",".",".","Interpersonal relations (includes love)",".",".","Interpersonal relations (includes love)","Food consumption","War","Drives and emotions",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
560,560,"Death (burials, funerals, mourning)",".",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Death (burials, funerals, mourning)",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
561,561,"Drives and emotions",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Buying and selling","Intra-community relations",".","Buying and selling","Fauna","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Membranophone",".",".",0,"NHS-C036",1
562,562,".",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".","Early morning (0400 to 0700) (includes daybreak, dawn)","Early morning (0400 to 0700) (includes daybreak, dawn)",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult","Child","Both sexes","Both married & unmarried","Adults","Children (general, includes ""boys"" or ""girls"")",".",".",".",0,"NHS-C036",0
563,563,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Dwellings",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",0,"NHS-C036",0
564,564,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Sickness, medical care, and shamans","Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Fauna",".",".",".",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".","2-5 listeners","Infant or toddler","Adult","Both sexes","Both married & unmarried","Children (infants & toddlers)","Adults",".",".",".",0,"NHS-C036",0
565,565,"Inter-community relations",".",".","Inter-community relations","Sorcery (creating sickness or bad luck)",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Sorcery (creating sickness or bad luck)","Games","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Sickness, medical care, and shamans",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","2-5 listeners","Adult",".","Male","Married","Warriors",".","Membranophone",".",".",0,"NHS-C036",0
566,566,"Inter-community relations",".",".","Inter-community relations","Sorcery (creating sickness or bad luck)",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Sorcery (creating sickness or bad luck)","Games","Fauna","Sorcery (creating sickness or bad luck)","Sickness, medical care, and shamans",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","2-5 listeners","Adult",".","Male","Married","Warriors",".",".",".",".",0,"NHS-C036",0
567,567,"War",".",".","Drives and emotions",".",".","Drives and emotions",".",".","War","Drives and emotions",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","2-5 listeners","Adult",".",".",".","Warriors",".",".",".",".",0,"NHS-C036",1
568,568,"War",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Drives and emotions","War","Death (burials, funerals, mourning)",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
570,570,"War",".",".","Drives and emotions","Dance",".","Drives and emotions",".",".","Drives and emotions","War",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".","Unspecified location",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
571,571,"War",".",".","Travel and transportation",".",".",".",".",".","War",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C036",0
572,572,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".","Membranophone",".",".",0,"NHS-C036",1
573,573,"War",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Adornment",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","War",".",".",".",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Adult","Adolescent/young adult","Male",".","Warriors",".",".",".",".",0,"NHS-C036",0
574,574,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Food consumption","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)","Elder",".",".",".",".",".",".",".","Male",".","Other group (incl. proper names)",".","11-20 listeners","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",1
575,575,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Recreational and non-therapeutic drugs","Food consumption","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Socialization and education",".","Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Adornment","Dwellings","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","2-5 singers",".",".",".",".",".",".",".",".","Male",".","Other group (incl. proper names)",".","2-5 listeners","All ages",".",".",".",".",".","Idiophone",".",".",0,"NHS-C036",1
576,576,".",".",".","Adornment","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)","Elder",".",".",".",".",".",".",".",".",".",".",".","11-20 listeners","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",1
577,577,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Recreational and non-therapeutic drugs",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".","Male",".","Other group (incl. proper names)",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Idiophone",".",".",0,"NHS-C036",1
578,578,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Fire","Recreational and non-therapeutic drugs","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",1
579,579,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Recreational and non-therapeutic drugs","Fire","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Adornment",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".","Male",".","Other group (incl. proper names)",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",1
580,580,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Adornment",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Adornment",".",".",".",".",".",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder","Child",".",".",".",".",".",".",".",0,"NHS-C036",0
581,581,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Fire","Recreational and non-therapeutic drugs","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Sickness, medical care, and shamans",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".","Male",".","Other group (incl. proper names)",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Idiophone",".",".",0,"NHS-C036",1
582,582,".",".",".","Adornment","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Adornment",".",".",".",".",".",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder","Child",".",".",".",".",".",".",".",0,"NHS-C036",0
584,584,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",1
585,585,"War","Travel and transportation",".","Dance",".",".","Communication","Interpersonal relations (includes love)",".","Interpersonal relations (includes love)","Food consumption","Dwellings","War",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult","Adult","Both sexes","Both married & unmarried","Adolescents","Adults",".",".",".",0,"NHS-C036",1
586,586,".",".",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","2-5 singers","Adult",".",".",".","Head/face & shoulders",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".",".",0,"NHS-C036",1
587,587,"Intra-community relations",".",".","Intra-community relations",".",".","Intra-community relations","Dance",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Membranophone",".",".",0,"NHS-C036",1
591,591,"War",".",".","War",".",".","War",".",".","Fauna",".",".",".",".",".",".",".","Solo singer","Adult",".",".","Head/face & shoulders","Head/face & shoulders",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C036",0
592,592,"Flora","Fire",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".",".",".",".","Human Biology",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
593,593,".",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Gender roles and issues","Interpersonal relations (includes love)","War","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",0
594,594,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".","Solo listener",".",".",".",".",".",".",".",".",".",0,"NHS-C036",0
595,595,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Status, role, and prestige",".",".",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".","6-10 singers","Adult",".",".",".",".",".",".",".","Both sexes",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".",".",0,"NHS-C036",1
596,596,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",0
597,597,"Intra-community relations","Fire",".",".",".",".","Socialization and education",".",".","Fauna","Dance",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
598,598,"Fauna",".",".",".",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",1
599,599,"Games",".",".",".",".",".","Games",".",".","Weapons",".",".",".",".",".",".",".","2-5 singers","Child",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
600,600,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",1
602,602,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".","Fauna",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","2-5 listeners","Adult",".",".",".",".",".",".",".",".",0,"NHS-C036",0
603,603,"Travel and transportation",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",0
604,604,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Sickness, medical care, and shamans",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Sickness, medical care, and shamans",".","Ideas about nature and people","Climate","Sickness, medical care, and shamans",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",0,"NHS-C036",0
605,605,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Fauna",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Fauna",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".",".",0,"NHS-C036",1
606,606,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".","Tools and appliances (not weapons)",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Male",".","Special: Priests/religious figures",".","Idiophone",".",".",0,"NHS-C036",1
607,607,"Travel and transportation","Dwellings",".",".",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".","6-10 singers","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C036",1
