"","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3"
"434",434,"Food processing (includes food preparation, storage, and preservation)","Labor",".","Food processing (includes food preparation, storage, and preservation)","Labor",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"435",435,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"436",436,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"437",437,"Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"438",438,"War",".",".","War",".",".","Drives and emotions","War",".","War",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"439",439,"Travel and transportation","Settlements",".","Inter-community relations",".",".",".",".",".","Fauna","Hunting and trapping",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440",440,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".","Traditional history","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".","Head/face & shoulders",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"441",441,"War",".",".","War",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","War",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".",".",".",".",".",".",".",".",".",".","Male",".","Raiders, warriors, head-hunters, etc.",".",".",".",".",".",".",".",".",".",".","."
"442",442,"War",".",".","War",".",".","Intra-community relations","War",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".","Male",".","Raiders, warriors, head-hunters, etc.",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".","Membranophone",".","."
"443",443,"War",".",".","War","Gift giving",".","War","Gift giving",".","Interpersonal relations (includes love)","Drives and emotions","Travel and transportation","Dwellings","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".","Male",".","Raiders, warriors, head-hunters, etc.",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"444",444,"War",".",".","War",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","War",".","War","Weapons",".",".",".",".",".",".",".","Adolescent/young adult",".",".",".",".",".",".",".","Male",".","Raiders, warriors, head-hunters, etc.",".",".",".",".",".",".",".",".",".",".","."
"445",445,"War",".",".","War",".",".","War",".",".","Fauna","Ideas about nature and people",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".",".","Adolescent/young adult",".",".",".",".",".",".",".","Male",".","Raiders, warriors, head-hunters, etc.",".",".",".",".",".",".",".",".",".",".","."
"446",446,"Fauna","War",".","Fauna","War",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".","Adolescent/young adult",".",".",".",".",".",".",".","Male",".","Raiders, warriors, head-hunters, etc.",".",".",".",".",".",".",".",".",".",".","."
"447",447,"War",".",".","War",".",".","Drives and emotions","War",".","Drives and emotions","War",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".","Male",".","Raiders, warriors, head-hunters, etc.",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"448",448,"War",".",".","War",".",".","Drives and emotions","War",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".","Head/face & shoulders",".",".",".",".","Male",".","Raiders, warriors, head-hunters, etc.",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"449",449,"Inter-community relations","Games",".","Inter-community relations","Games",".","Games","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Circle",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450",450,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"451",451,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"452",452,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"453",453,"Family (includes nuclear family, polygamy, adoption)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","2-5 singers","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"454",454,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"455",455,"Food consumption",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".",".","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"456",456,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"457",457,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Socialization and education",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"458",458,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"459",459,"Drives and emotions",".",".","Laws & Rules",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"460",460,"Sorcery (creating sickness or bad luck)",".",".","Laws & Rules",".",".","Avoidance and taboo","Laws & Rules",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Male",".","Other group (incl. proper names)",".",".",".",".",".",".",".",".",".",".","."
"461",461,"Sorcery (creating sickness or bad luck)",".",".","Laws & Rules",".",".","Sorcery (creating sickness or bad luck)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"462",462,"Sorcery (creating sickness or bad luck)",".",".","Laws & Rules",".",".","Sorcery (creating sickness or bad luck)","Travel and transportation","Fauna",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"463",463,"Sleeping",".",".","Sleeping",".",".","Socialization and education",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464",464,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2-5 singers","Elder",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"465",465,".",".",".","Games",".",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"466",466,".",".",".","Daily routine",".",".",".",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)","1-10 hours","No recurrence",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"467",467,".",".",".","Daily routine",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"468",468,"Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",".","Daily routine",".",".","Daily routine",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"469",469,".",".",".","Socialization and education",".",".",".",".",".","Fauna",".",".",".",".",".",".",".","2-5 singers","Child",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"470",470,".",".",".","Fauna","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471",471,"Travel and transportation",".",".","War",".",".","War",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472",472,"Travel and transportation",".",".","War",".",".","War",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Male",".","Warriors",".",".",".","."
"473",473,"Drives and emotions","Hunting and trapping",".","Hunting and trapping",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Hunting and trapping","Food processing (includes food preparation, storage, and preservation)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474",474,"Travel and transportation",".",".",".",".",".","Climate",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475",475,"Building and construction",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Building and construction",".",".",".",".",".",".",".",".",">10 hours","No recurrence",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"476",476,".",".",".","Agriculture","Recreational and non-therapeutic drugs",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"477",477,".",".",".","Agriculture",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Agriculture",".","Agriculture",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"478",478,"Agriculture",".",".","Spectacles",".",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"479",479,"Agriculture",".",".","Spectacles",".",".",".",".",".","Infancy and childhood","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"480",480,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"481",481,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"482",482,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".","1-10 hours","No recurrence","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"483",483,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"484",484,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"485",485,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Elder",".",".",".",".",".","Membranophone",".","."
"486",486,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Laws & Rules",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"487",487,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Laws & Rules",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"488",488,".",".",".","Social stratification (includes slavery)","Senescence",".","Senescence","Social stratification (includes slavery)","Communication","Inter-community relations",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"489",489,".",".",".","Recreational and non-therapeutic drugs","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Early evening (1700 to 1900) (includes sunset)","1-10 hours","No recurrence",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490",490,".",".",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Head/face & shoulders",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491",491,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Sickness, medical care, and shamans",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492",492,"Intra-community relations",".",".",".",".",".","Recreational and non-therapeutic drugs",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","2-5 singers",".",".","Circle",".",".",".",".",".",".",".",".",".","11-20 listeners","Adult","Adolescent/young adult","Both sexes",".","Adults","Adolescents","Membranophone",".","."
"493",493,"Sickness, medical care, and shamans",".",".",".",".",".","Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".","Morning (0700 to 1000)","Morning (0700 to 1000)",".",".","Solo singer","Elder",".",".",".",".",".",".",".","Male",".","Elders",".",".",".",".",".",".",".",".",".",".","."
"494",494,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Ideas about nature and people","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".","Solo singer","Elder",".","Circle",".",".",".",".",".",".",".",".",".","2-5 listeners","Elder",".",".",".",".",".",".",".","."
"495",495,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Recreational and non-therapeutic drugs","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".","Solo singer","Elder",".","Circle",".",".",".",".",".",".",".",".",".","2-5 listeners","Elder",".",".",".",".",".",".",".","."
"496",496,"Recreational and non-therapeutic drugs","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Food consumption",".",".",".","Socialization and education",".",".","Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".","Other group (incl. proper names)",".",".",".","."
"497",497,"Building and construction","Flora",".","Travel and transportation",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"498",498,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Puberty and initiation",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Puberty and initiation",".",".",".",".",".",".",".",".",".",".","6-10 singers","Adult",".",".",".",".",".",".",".",".",".",".",".","6-10 listeners","All ages",".","Female",".","Special: Priests/religious figures",".","Idiophone",".","."
"499",499,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Puberty and initiation",".","Dance","Adornment","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Puberty and initiation",".",".",".",".",".",".",".",".",".",".","6-10 singers","Adult",".",".","Unspecified location",".",".",".",".",".",".",".",".","6-10 listeners","All ages",".","Female",".","Special: Priests/religious figures",".","Idiophone",".","."
"500",500,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Puberty and initiation",".","Adornment","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Puberty and initiation",".",".",".",".",".",".",".",".",".",".","2-5 singers","Elder",".",".","Entire body",".",".",".",".",".",".",".",".","2-5 listeners","All ages",".","Male",".","Special: Priests/religious figures",".","Idiophone",".","."
"501",501,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Recreational and non-therapeutic drugs","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"502",502,"Climate","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Climate",".",".",".",".",".",".",".",".",".",".","2-5 singers","Elder",".",".","Unspecified location","Head/face & shoulders","Unspecified location",".","1",".",".",".",".","2-5 listeners","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone","Aerophone","."
"503",503,"Climate","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Dance",".",".","Climate",".",".",".",".",".",".",".",".",".",".","2-5 singers","Elder",".",".","Unspecified location","Head/face & shoulders","Unspecified location",".","1",".",".",".",".","2-5 listeners","Adult",".",".",".","Adults",".","Membranophone","Aerophone","."
"504",504,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Travel and transportation",".",".",".",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)",".",".","Multiple lines",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"505",505,"Gift giving",".",".",".",".",".","Status, role, and prestige",".",".","Drives and emotions","Travel and transportation",".",".",".",".",".",".","Solo singer","Elder",".",".",".","Limbs (incl. hands/feet)","Torso",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Female","Both married & unmarried","Adults","Community (mixed-gender groups, includes ""village"")",".",".","."
"506",506,"Gift giving",".",".","Travel and transportation","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Gift giving",".",".","Adornment","Human Biology","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".","6-10 singers","Elder",".","Other shape",".","Limbs (incl. hands/feet)","Torso",".","1",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"507",507,"Gift giving",".",".","Travel and transportation","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Gift giving",".",".","Status, role, and prestige","Family (includes nuclear family, polygamy, adoption)","Drives and emotions",".",".",".",".",".","6-10 singers","Elder",".","Other shape",".","Limbs (incl. hands/feet)","Torso",".","1",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"508",508,".",".",".","Spectacles",".",".","Communication",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Multiple lines",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"509",509,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Travel and transportation",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","2-5 singers",".",".",".","Head/face & shoulders",".","Limbs (incl. hands/feet)",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone","Aerophone","."
"510",510,"Daily routine",".",".","Daily routine",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Traditional history",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511",511,"Interpersonal relations (includes love)",".",".","Travel and transportation",".",".","Interpersonal relations (includes love)",".",".","Interpersonal relations (includes love)",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","2-5 singers","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Idiophone",".","."
"512",512,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance","Adornment","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Water and thirst","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Dwellings","Recreational and non-therapeutic drugs",".",".",".",".","Solo singer","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"513",513,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance","Adornment","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Dwellings","Ideas about nature and people","Climate",".",".",".",".","Solo singer","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"514",514,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Recreational and non-therapeutic drugs","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Fauna","Ideas about nature and people",".",".","Early morning (0400 to 0700) (includes daybreak, dawn)","Early morning (0400 to 0700) (includes daybreak, dawn)","1-10 hours","No recurrence","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder",".","Both sexes","Married","Elders",".","Idiophone","Aerophone","."
"515",515,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Fauna",".",".",".",".",".",".","No recurrence","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"516",516,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".","."
